ID_Estudiante,Edad,Fecha_Inscripcion,Genero,Estilo_Aprendizaje,Carrera,Signo_Zodiacal,Examen_Admision,Horas_Estudio_Semanal,Asistencia_Pct,Faltas,Promedio_Parciales,Motivacion,Nota_Final,Aprobo
236,22.6,2022-12-09,F,sensorial,Sistemas,Leo,"3,74",11.9,61.6,8.0,2.98,6.0,5.0,si
237,19.0,2022-01-08,F,visual,Ingenieria,Virgo,3.97,,83.2,4.0,,6.0,3.14,si
238,19.0,2022-12-02,M,verbal,Economia,Tauro,3.86,11.4,,,2.96,9.0,2.53,no
239,24.9,2024-01-22,F,verbal,Administracion,Leo,3.26,7.4,60.6,8.0,1.97,4.0,1.29,no
240,24.6,2025-05-12,M,visual,Ingenieria,Geminis,3.86,19.4,85.1,3.0,4.14,8.0,3.35,si
241,28.8,2025-07-09,M,visual,Artes,Cancer,3.82,2.2,91.3,2.0,,6.0,2.45,no
242,,2022-09-05,M,verbal,Educacion,Piscis,4.77,,,,3.09,7.0,2.58,no
243,20.0,2022-06-01,F,sensorial,Sistemas,Virgo,2.95,7.1,95.0,1.0,2.58,8.0,3.05,si
244,24.4,2023-08-13,M,visual,Psicologia,Cancer,3.89,5.8,,,2.93,4.0,2.69,no
245,21.4,2023-12-07,M,sensorial,Economia,Aries,4.79,7.7,73.2,6.0,,9.0,3.47,si
246,24.0,2020-05-09,F,verbal,Medicina,Piscis,2.64,7.2,90.6,2.0,2.88,5.0,2.69,no
247,20.3,2020-06-08,M,visual,Sistemas,Libra,3.66,14.0,64.8,7.0,2.57,7.0,3.22,si
248,24.6,2023-12-02,M,sensorial,Derecho,Acuario,4.45,19.2,84.0,3.0,3.53,5.0,2.5,no
249,27.8,2021-12-08,F,visual,Artes,Virgo,"4,66",11.0,96.4,1.0,2.82,3.0,2.87,no
250,21.0,2023-05-22,M,visual,Psicologia,Acuario,3.64,7.0,54.3,9.0,1.92,,1.89,no
251,21.4,2018-02-12,F,sensorial,Derecho,Capricornio,3.42,19.9,80.8,4.0,2.76,3.0,2.97,no
252,24.3,2024-09-26,f,verbal,Ingenieria,Geminis,3.48,19.4,,,3.59,,3.23,si
253,20.8,2025-12-13,M,activo,Educacion,Aries,3.16,,73.6,6.0,2.44,,2.47,no
254,19.0,2021-08-04,M,visual,Economia,Sagitario,4.38,2.0,74.2,5.0,2.83,6.0,2.24,no
255,19.0,2025-09-13,Otro,visual,Ingenieria,Acuario,4.6,15.8,47.1,10.0,,10.0,4.28,si
256,20.0,2019-04-22,M,sensorial,Educacion,Libra,3.78,,73.4,5.0,3.03,,2.71,no
257,21.8,2021-06-26,M,sensorial,Educacion,Capricornio,2.67,4.3,68.4,6.0,1.71,2.0,1.55,no
258,20.9,2022-12-23,F,secuencial,Administracion,Leo,"2,84",4.8,74.7,5.0,2.43,4.0,2.04,no
259,19.0,2024-10-15,F,secuencial,Administracion,Libra,"4,61",6.3,89.7,2.0,3.2,7.0,2.85,no
260,24.0,2021-05-26,M,activo,Ingenieria,Leo,4.6,8.7,55.2,9.0,3.72,7.0,3.64,si
261,22.0,2025-12-25,Otro,verbal,Ingenieria,Libra,5.0,14.9,59.4,8.0,3.55,4.0,3.12,si
262,23.1,2023-05-10,M,activo,Psicologia,Libra,4.15,,83.8,3.0,2.67,5.0,2.26,no
263,19.0,2021-12-12,F,verbal,Artes,Virgo,3.62,9.9,52.2,9.0,1.61,10.0,1.52,no
264,,2024-01-14,M,equilibrio,Economia,Capricornio,3.25,4.9,78.7,4.0,2.28,1.0,1.89,no
265,,2023-07-04,F,verbal,Economia,Capricornio,2.81,5.1,79.1,4.0,1.21,,1.33,no
266,19.8,2022-03-18,M,verbal,Artes,Capricornio,3.77,15.1,5.0,19.0,3.11,10.0,2.29,no
267,19.1,2025-07-24,M,visual,Sistemas,Sagitario,3.0,15.6,75.4,5.0,2.03,6.0,2.47,no
268,22.7,2018-05-08,F,sensorial,Economia,Escorpio,3.78,,77.1,5.0,1.95,6.0,1.74,no
269,26.0,2026-11-15,M,sensorial,Ingenieria,Acuario,4.95,,89.1,2.0,3.95,7.0,3.56,si
270,20.4,2025-03-10,F,visual,Derecho,Acuario,4.23,18.0,,,2.99,5.0,2.87,no
271,19.0,2023-07-07,M,reflexivo,Administracion,Sagitario,,12.5,82.1,3.0,2.24,5.0,1.77,no
272,26.2,2021-07-17,F,visual,Psicologia,Aries,3.23,8.3,69.0,6.0,2.63,6.0,2.06,no
273,20.8,2019-01-16,F,visual,Administracion,Tauro,3.06,6.5,,,1.83,3.0,2.35,no
274,23.2,2025-10-21,F,equilibrio,Ingenieria,Acuario,4.32,9.1,78.5,4.0,3.17,5.0,3.11,si
275,21.5,2018-06-03,M,sensorial,Derecho,Piscis,4.37,12.2,83.2,3.0,2.89,5.0,2.43,no
276,19.8,2025-04-04,F,visual,Artes,Capricornio,4.22,6.4,64.7,7.0,2.62,6.0,1.88,no
277,19.0,2020-11-19,F,visual,Medicina,Leo,5.0,4.5,87.6,3.0,2.48,7.0,2.97,no
278,24.7,2024-08-25,F,verbal,Educacion,Leo,3.66,-4.0,76.3,5.0,2.41,6.0,2.32,no
279,20.7,2021-03-26,F,reflexivo,Educacion,Piscis,4.37,21.5,67.0,6.0,3.62,5.0,2.8,no
280,26.9,2024-01-01,M,visual,Ingenieria,Leo,,22.7,71.4,6.0,4.34,7.0,3.85,si
281,,2022-08-22,F,sensorial,Sistemas,Sagitario,4.82,,83.7,3.0,3.43,6.0,2.84,no
282,22.7,2023-02-07,M,verbal,Administracion,Piscis,4.38,6.4,,,3.14,10.0,2.47,no
283,23.7,2024-11-12, m ,activo,Administracion,Capricornio,3.47,10.1,58.3,9.0,2.23,6.0,2.45,no
284,22.1,2025-02-13,M,visual,Ingenieria,Libra,3.45,4.0,72.6,6.0,2.81,9.0,3.13,si
285,19.8,2022-10-04,F,secuencial,Derecho,Cancer,2.84,,78.8,4.0,2.12,10.0,1.89,no
286,23.6,2025-03-04,F,,Administracion,Escorpio,3.25,16.3,,,2.84,4.0,2.13,no
287,19.0,2023-02-21,F,sensorial,Sistemas,Tauro,3.56,11.3,71.9,5.0,2.79,5.0,2.77,no
288,28.7,2024-11-20,F,sensorial,Medicina,Libra,3.16,4.4,51.0,10.0,1.81,5.0,2.41,no
289,21.0,2019-06-02,Otro,sensorial,Sistemas,Libra,2.55,6.3,59.3,8.0,1.77,7.0,2.6,no
290,21.7,2024-07-07,F,reflexivo,Medicina,Geminis,2.68,10.8,64.6,7.0,2.66,,2.7,no
291,25.0,2022-05-11,F,reflexivo,Sistemas,Geminis,3.22,3.3,99.6,0.0,2.3,7.0,2.39,no
292,23.3,2023-08-14,F,visual,Artes,Virgo,3.05,6.3,86.3,3.0,2.19,5.0,1.99,no
293,20.5,2022-06-18,F,,Ingenieria,Cancer,3.65,2.4,52.2,9.0,6.5,7.0,2.3,no
294,21.4,2024-10-22,F,secuencial,Derecho,Acuario,3.66,,49.8,10.0,,10.0,2.58,no
295,21.7,2025-03-22,M,activo,Psicologia,Geminis,3.1,3.8,78.3,5.0,2.57,3.0,2.22,no
296,21.0,2021-08-03,F,sensorial,Ingenieria,Virgo,,19.2,69.8,6.0,3.55,9.0,3.36,si
297,23.1,2024-03-21,M,visual,Derecho,Escorpio,3.56,4.4,58.0,8.0,1.68,,1.83,no
298,27.1,2022-03-06,M,visual,Psicologia,Libra,3.29,13.0,78.6,4.0,2.57,4.0,2.3,no
299,23.5,2021-03-21,F,visual,Ingenieria,Acuario,2.96,10.4,53.9,9.0,2.63,7.0,2.5,no
300,22.3,2020-06-22,F,intuitivo,Economia,Leo,4.64,17.2,,,3.68,7.0,3.94,si
301,24.2,2021-08-06,M,equilibrio,Ingenieria,Escorpio,4.23,6.0,85.4,3.0,3.31,6.0,3.61,si
302,19.3,2023-12-02,M,verbal,Psicologia,Geminis,3.14,10.6,63.8,7.0,2.05,6.0,1.09,no
303,23.5,2022-05-05,M,visual,Educacion,Geminis,4.87,7.3,86.7,3.0,3.79,10.0,2.86,no
304,19.0,2023-05-18,M,sensorial,Sistemas,Capricornio,3.61,3.7,78.6,4.0,2.18,7.0,2.48,no
305,21.8,2021-11-01,M,activo,Economia,Geminis,3.19,6.3,60.8,8.0,1.69,8.0,1.36,no
306,22.1,2025-11-19,F,visual,Psicologia,Cancer,2.53,4.9,97.0,1.0,1.66,10.0,1.51,no
307,22.1,2023-02-23,M,reflexivo,Sistemas,Cancer,2.59,16.7,79.3,4.0,,7.0,2.02,no
308,22.3,2018-06-13,F,secuencial,Derecho,Piscis,3.54,7.0,89.6,2.0,2.5,5.0,2.17,no
309,23.6,2022-09-05,F,visual,Ingenieria,Escorpio,3.98,5.6,92.3,2.0,2.73,10.0,3.14,si
310,24.5,2021-05-08,F,equilibrio,Administracion,Acuario,4.32,20.5,77.6,5.0,3.57,3.0,2.87,no
311,22.0,2018-05-21,F,equilibrio,Medicina,Virgo,4.58,5.7,92.8,1.0,3.12,2.0,3.46,si
312,19.8,2026-10-13,M,sensorial,Administracion,Virgo,2.63,10.0,72.0,6.0,,9.0,1.62,no
313,21.6,2023-03-25,M,secuencial,Sistemas,Capricornio,2.9,7.3,71.5,5.0,2.48,10.0,3.02,si
314,22.8,2023-06-13,M,activo,Derecho,Leo,3.76,6.8,42.0,11.0,2.22,7.0,2.16,no
315,99.5,2023-03-04,F,sensorial,Economia,Leo,3.14,11.4,87.2,3.0,,8.0,1.99,no
316,19.1,2024-02-27,M,secuencial,Ingenieria,Leo,4.2,11.2,68.0,7.0,3.07,,3.61,si
317,24.0,2025-07-21,M,reflexivo,Ingenieria,Capricornio,4.69,4.5,56.4,9.0,3.11,5.0,3.73,si
318,23.9,2024-06-03,M,sensorial,Artes,Capricornio,2.95,20.0,86.1,3.0,2.35,6.0,1.47,no
319,21.9,2025-01-22,M,intuitivo,Economia,Tauro,"3,03",22.6,89.1,2.0,2.47,6.0,2.35,no
320,25.8,2024-02-02,M,activo,Educacion,Escorpio,3.56,2.1,86.0,3.0,2.69,6.0,2.52,no
321,26.5,2026-02-04,M,visual,Administracion,Cancer,,13.2,57.6,9.0,2.64,5.0,2.39,no
322,22.7,2022-07-17,Otro,activo,Artes,Sagitario,3.31,6.2,86.6,2.0,2.82,5.0,1.41,no
323,19.0,2024-05-25,F,intuitivo,Administracion,Aries,3.84,6.5,79.7,4.0,2.87,6.0,2.41,no
324,22.2,2024-05-26,F,sensorial,Medicina,Virgo,3.09,9.4,61.3,8.0,1.93,10.0,2.67,no
325,24.4,2021-03-16,M,visual,Administracion,Piscis,2.82,6.5,59.9,8.0,1.79,6.0,1.88,no
326,22.7,2021-10-20,F,secuencial,Administracion,Tauro,3.87,15.3,,,2.68,8.0,2.6,no
327,25.8,2024-12-05,M,visual,Educacion,Aries,3.6,10.7,67.9,6.0,1.93,10.0,1.33,no
328,27.8,2021-04-25,F,verbal,Artes,Escorpio,4.67,,87.6,2.0,3.91,7.0,2.45,no
329,26.0,2024-08-11,Otro,activo,Economia,Aries,3.84,12.7,80.9,4.0,3.13,6.0,3.32,si
330,21.1,2022-11-15,M,sensorial,Economia,Capricornio,3.93,0.8,89.2,2.0,2.2,5.0,2.61,no
331,250.0,2024-11-10,M,,Derecho,Aries,5.0,9.1,,,3.11,3.0,3.08,si
332,19.6,2020-05-15,F,sensorial,Economia,Piscis,4.12,6.8,48.8,10.0,,,2.04,no
333,20.9,2023-04-20,M,verbal,Ingenieria,Acuario,4.07,18.7,76.2,5.0,4.05,,4.28,si
334,24.7,2020-05-09,M,secuencial,Derecho,Aries,2.67,5.9,72.6,5.0,2.0,6.0,2.07,no
335,22.1,2023-03-13,F,visual,Ingenieria,Libra,4.52,18.1,85.9,3.0,4.22,8.0,3.76,si
336,26.6,2023-05-16,F,secuencial,Ingenieria,Sagitario,4.49,8.5,57.3,8.0,3.38,4.0,3.27,si
337,19.0,2025-11-04,F,visual,Medicina,Cancer,4.22,2.0,93.6,1.0,2.76,1.0,2.28,no
338,,2023-08-27,F,secuencial,Administracion,Aries,3.46,9.6,44.4,11.0,2.46,5.0,1.89,no
339,26.8,2024-05-11,F,secuencial,Educacion,Piscis,3.57,12.8,66.3,6.0,2.54,,2.36,no
340,23.7,2022-09-14,M,activo,Artes,Geminis,4.22,24.6,65.9,7.0,3.16,2.0,2.01,no
341,24.8,2019-09-10,F,sensorial,Medicina,Geminis,5.0,,48.0,10.0,3.18,9.0,3.13,si
342,19.0,2024-12-23,F,visual,Ingenieria,Escorpio,3.53,,56.1,9.0,2.12,6.0,2.42,no
343,19.0,2023-12-21,F,secuencial,Sistemas,Leo,4.29,12.4,61.5,8.0,3.15,9.0,3.57,si
344,19.0,2021-01-15,F,secuencial,Economia,Leo,2.62,2.6,75.5,5.0,1.82,6.0,2.11,no
345,23.5,2022-07-05,M,verbal,Ingenieria,Geminis,5.0,13.8,61.7,8.0,,6.0,3.97,si
346,20.5,2022-02-23,F,sensorial,Administracion,Piscis,2.8,7.7,87.7,3.0,2.11,,2.0,no
347,19.0,2021-07-12,F,equilibrio,Economia,Piscis,4.62,5.8,,,3.32,10.0,3.45,si
348,24.1,2024-09-24,Otro,visual,Ingenieria,Sagitario,,10.4,98.7,0.0,2.76,,3.16,si
349,23.1,2022-06-18,M,reflexivo,Administracion,Escorpio,4.18,6.8,85.3,3.0,3.3,7.0,2.65,no
350,25.5,2026-05-17,M,verbal,Administracion,Acuario,4.99,8.4,77.5,4.0,3.27,4.0,2.5,no
351,28.7,2023-02-23,f,sensorial,Sistemas,Aries,3.02,15.3,61.7,8.0,3.05,4.0,2.57,no
352,19.0,2023-07-02,F,visual,Psicologia,Virgo,3.92,8.9,76.6,5.0,2.67,8.0,2.16,no
353,21.8,2021-03-15,M,secuencial,Administracion,Sagitario,2.8,14.5,78.6,4.0,2.49,4.0,1.54,no
354,27.1,2023-09-01,M,sensorial,Ingenieria,Capricornio,3.42,22.2,89.5,2.0,3.1,9.0,3.49,si
355,28.1,2025-10-21,M,secuencial,Ingenieria,Cancer,5.0,,,,4.61,10.0,4.52,si
356,21.9,2023-04-16,F,intuitivo,Medicina,Aries,3.12,11.9,58.9,8.0,1.84,8.0,2.42,no
357,19.5,2025-04-09,,equilibrio,Ingenieria,Libra,3.85,10.7,68.2,6.0,2.97,9.0,3.25,si
358,23.5,2022-09-24,M,intuitivo,Artes,Sagitario,4.24,2.7,78.0,5.0,2.96,8.0,2.78,no
359,23.0,2023-01-22,F,sensorial,Administracion,Escorpio,4.19,4.1,85.8,3.0,2.97,9.0,,no
360,19.0,2021-08-26,F,secuencial,Economia,Cancer,3.94,10.9,,,3.14,4.0,2.68,no
361,19.3,2026-01-10,F,activo,Artes,Piscis,-0.5,,78.3,4.0,3.46,10.0,3.49,si
362,20.9,2024-02-23,M,reflexivo,Educacion,Acuario,2.06,7.5,89.0,2.0,2.39,8.0,2.03,no
363,20.7,2024-11-20,M,verbal,Sistemas,Leo,2.96,7.0,80.7,4.0,,7.0,2.98,no
364,27.5,2023-12-27,M,secuencial,Educacion,Acuario,,7.2,88.4,2.0,2.07,6.0,1.96,no
365,19.2,2026-09-18,F,visual,Ingenieria,Cancer,4.35,13.0,61.0,8.0,2.89,10.0,4.17,si
366,23.1,2024-02-19,F,sensorial,Economia,Libra,3.14,21.3,51.3,10.0,2.37,4.0,1.91,no
367,20.0,2024-02-11,F,sensorial,Psicologia,Aries,3.1,3.2,64.9,7.0,2.88,4.0,2.48,no
368,22.4,2025-09-01,M,visual,Medicina,Aries,4.03,9.6,80.8,4.0,3.46,,2.78,no
369,,2022-05-15,M,secuencial,Artes,Geminis,2.59,4.3,81.0,4.0,2.13,,1.91,no
370,25.0,2023-02-11,,activo,Educacion,Leo,3.44,8.4,82.2,4.0,3.1,,2.01,no
371,25.1,2022-02-04,M,,Educacion,Virgo,,8.9,90.9,2.0,2.74,9.0,2.47,no
372,,2022-10-27,,verbal,Ingenieria,Libra,4.53,0.9,86.1,3.0,3.11,15.0,2.91,no
373,24.3,2023-04-07,F,equilibrio,Administracion,Leo,4.26,7.5,90.6,2.0,,5.0,2.95,no
374,23.7,2022-07-11,M,intuitivo,Ingenieria,Cancer,4.91,4.1,,,2.87,8.0,3.59,si
375,24.2,2022-03-17,M,reflexivo,Administracion,Virgo,3.44,8.1,79.7,4.0,2.38,10.0,1.96,no
376,21.3,2024-02-18,Otro,sensorial,Psicologia,Aries,2.67,7.5,87.9,2.0,2.65,8.0,,no
377,19.6,2020-02-21,M,visual,Sistemas,Libra,3.49,11.1,86.8,3.0,3.15,7.0,2.95,no
378,21.9,2025-04-25,F,visual,Economia,Escorpio,4.57,9.3,69.8,6.0,3.27,9.0,2.4,no
379,24.3,2021-03-22,M,intuitivo,Ingenieria,Tauro,4.77,,63.9,7.0,3.74,7.0,3.59,si
380,19.5,2021-02-24,M,secuencial,Ingenieria,Libra,4.23,5.3,,,3.04,10.0,,no
381,19.0,2022-06-03,F,reflexivo,Artes,Geminis,4.46,5.7,73.4,5.0,2.85,6.0,2.13,no
382,21.0,2023-03-05,M,secuencial,Economia,Cancer,3.12,5.2,,,1.82,6.0,2.01,no
383,23.5,2023-11-17,M,secuencial,Administracion,Escorpio,3.33,10.7,91.2,2.0,2.55,4.0,1.81,no
384,19.9,2023-05-07,F,equilibrio,Derecho,Aries,2.96,9.4,98.4,0.0,2.87,3.0,2.04,no
385,22.8,2022-08-04,M,activo,Ingenieria,Piscis,,5.8,71.7,5.0,3.91,8.0,4.44,si
386,26.1,2025-06-22,F,,Administracion,Geminis,2.65,4.2,66.0,7.0,1.76,6.0,1.36,no
387,21.0,2024-07-22,M,visual,Ingenieria,Libra,4.04,4.8,88.9,2.0,3.36,,3.63,si
388,20.8,2023-06-25,M,intuitivo,Artes,Virgo,3.35,,71.7,6.0,2.7,4.0,1.85,no
389,26.4,2023-04-07,F,activo,Psicologia,Geminis,1.78,9.8,72.8,5.0,1.63,8.0,0.0,no
390,19.0,2021-04-21,F,visual,Economia,Capricornio,3.45,6.2,81.6,4.0,3.26,7.0,2.0,no
391,19.0,2023-02-06,M,verbal,Ingenieria,Cancer,3.44,7.7,90.9,2.0,3.25,2.0,3.69,si
392,19.6,2024-11-11,M,secuencial,Administracion,Piscis,3.96,20.7,92.9,1.0,3.42,3.0,2.47,no
393,22.3,2024-07-08,F,activo,Educacion,Virgo,3.44,3.6,86.8,3.0,2.22,5.0,2.35,no
394,22.4,2024-11-13,M,secuencial,Ingenieria,Libra,4.94,5.2,67.0,7.0,3.68,8.0,3.73,si
395,24.7,2022-08-11,M,verbal,Sistemas,Leo,3.89,5.1,67.7,6.0,2.61,,3.16,si
396,22.1,2022-02-26,M,intuitivo,Educacion,Cancer,2.77,9.0,,,2.28,,0.83,no
397,23.5,2025-11-20,M,sensorial,Ingenieria,Geminis,3.99,4.6,86.6,3.0,2.6,2.0,3.44,si
398,21.5,2025-11-09,F,secuencial,Psicologia,Leo,3.13,17.3,75.9,4.0,2.72,9.0,2.04,no
399,20.9,2023-12-07,M,verbal,Artes,Tauro,2.84,4.9,,,,5.0,1.33,no
400,19.0,2021-01-09,M,visual,Educacion,Piscis,4.08,12.2,72.3,6.0,3.13,10.0,2.39,no
401,22.4,2023-04-20,F,sensorial,Psicologia,Piscis,7.2,6.1,87.7,3.0,1.99,5.0,1.69,no
402,22.8,2019-08-23,Otro,sensorial,Derecho,Aries,"2,65",4.4,52.5,10.0,1.3,2.0,0.81,no
403,,2023-03-18,F,equilibrio,Educacion,Libra,3.45,11.3,96.2,0.0,2.8,4.0,1.58,no
404,20.7,2022-04-15,M,sensorial,Economia,Tauro,4.07,7.7,56.6,9.0,2.44,6.0,2.12,no
405,20.8,2025-01-08,M,visual,Artes,Geminis,2.91,15.5,39.6,12.0,2.33,7.0,1.6,no
406,23.3,2022-06-24,M,secuencial,Artes,Escorpio,4.08,,90.4,2.0,2.53,7.0,1.77,no
407,,2021-02-11,M,secuencial,Ingenieria,Acuario,,8.5,67.3,7.0,3.03,,3.54,si
